"name","MW","RT","INCHIKEY"
" m-Coumaric acid_KKSDGJDHHZEWEP-SNAWJCMRSA-N"," 164.0473"," 0.82","KKSDGJDHHZEWEP-SNAWJCMRSA-N"
" 2',4'-Dihydroxyacetophenone_KLAKIAVEMQMVBT-UHFFFAOYSA-N"," 152.0473"," 0.68","KLAKIAVEMQMVBT-UHFFFAOYSA-N"
" Cosmosiin_KMOUJOKENFFTPU-QNDFHXLGSA-N"," 432.1056"," 1.76","KMOUJOKENFFTPU-QNDFHXLGSA-N"
" ADENOSINE 2',3'-CYCLIC PHOSPHATE_KMYWVDDIPVNLME-UHFFFAOYSA-N"," 329.0525"," 7.05","KMYWVDDIPVNLME-UHFFFAOYSA-N"
" Celastrol_KQJSQWZMSAGSHN-JJWQIEBTSA-N"," 450.2770"," 0.78","KQJSQWZMSAGSHN-JJWQIEBTSA-N"
" 1,2,3-Propanetricarboxylic acid_KQTIIICEAUMSDG-UHFFFAOYSA-N"," 176.0321"," 7.46","KQTIIICEAUMSDG-UHFFFAOYSA-N"
" FERULATE_KSEBMYQBYZTDHS-HWKANZROSA-N"," 194.0579"," 0.79","KSEBMYQBYZTDHS-HWKANZROSA-N"
" PROTOPORPHYRIN_KSFOVUSSGSKXFI-UHFFFAOYSA-N"," 562.2580"," 0.84","KSFOVUSSGSKXFI-UHFFFAOYSA-N"
" N-ACETYLALANINE_KTHDTJVBEPMMGL-VKHMYHEASA-N"," 131.0582"," 3.51","KTHDTJVBEPMMGL-VKHMYHEASA-N"
" DEOXYCHOLATE_KXGVEGMKQFWNSR-LLQZFEROSA-N"," 392.2927"," 0.84","KXGVEGMKQFWNSR-LLQZFEROSA-N"
" Apigenin_KZNIFHPLKGYRTM-UHFFFAOYSA-N"," 270.0528"," 0.72","KZNIFHPLKGYRTM-UHFFFAOYSA-N"
" (R)-Glabridin_LBQIJVLKGVZRIW-UHFFFAOYSA-N"," 324.1362"," 0.70","LBQIJVLKGVZRIW-UHFFFAOYSA-N"
" alpha-D-Galactopyranuronosyl-(1->4)-alpha-D-galactopyranuronosyl-(1->4)-D-galacturonic acid_LCLHHZYHLXDRQG-UHFFFAOYSA-N"," 546.1068"," 10.61","LCLHHZYHLXDRQG-UHFFFAOYSA-N"
" 5-HYDROXYTRYPTOPHAN_LDCYZAJDBXYCGN-VIFPVBQESA-N"," 220.0848"," 6.98","LDCYZAJDBXYCGN-VIFPVBQESA-N"
" URATE_LEHOTFFKMJEONL-UHFFFAOYSA-N"," 168.0283"," 7.13","LEHOTFFKMJEONL-UHFFFAOYSA-N"
" 3-Methylsulfinylpropyl isothiocyanate_LELAOEBVZLPXAZ-UHFFFAOYSA-N"," 163.0126"," 0.84","LELAOEBVZLPXAZ-UHFFFAOYSA-N"
" 4-HYDROXY-L-PHENYLGLYCINE_LJCWONGJFPCTTL-UHFFFAOYSA-N"," 167.0582"," 7.61","LJCWONGJFPCTTL-UHFFFAOYSA-N"
" N-Acetyl-beta-alanine_LJLLAWRMBZNPMO-UHFFFAOYSA-N"," 131.0582"," 1.75","LJLLAWRMBZNPMO-UHFFFAOYSA-N"
" 5,6 DIMETHYLBENZIMIDAZOLE_LJUQGASMPRMWIW-UHFFFAOYSA-N"," 146.0844"," 1.00","LJUQGASMPRMWIW-UHFFFAOYSA-N"
" SORBOSE_LKDRXBCSQODPBY-BGPJRJDNSA-N"," 180.0634"," 7.49","LKDRXBCSQODPBY-BGPJRJDNSA-N"
" TAGATOSE_LKDRXBCSQODPBY-OEXCPVAWSA-N"," 180.0634"," 8.46","LKDRXBCSQODPBY-OEXCPVAWSA-N"
" PSICOSE_LKDRXBCSQODPBY-UHFFFAOYSA-N"," 180.0634"," 8.46","LKDRXBCSQODPBY-UHFFFAOYSA-N"
" 1,3,5-Trimethoxybenzene_LKUDPHPHKOZXCD-UHFFFAOYSA-N"," 168.0786"," 0.72","LKUDPHPHKOZXCD-UHFFFAOYSA-N"
" Gallic acid_LNTHITQWFMADLM-UHFFFAOYSA-N"," 170.0215"," 8.40","LNTHITQWFMADLM-UHFFFAOYSA-N"
" UROCANATE_LOIYMIARKYCTBW-OWOJBTEDSA-N"," 138.0429"," 1.99","LOIYMIARKYCTBW-OWOJBTEDSA-N"
" XANTHINE_LRFVTYWOQMYALW-UHFFFAOYSA-N"," 152.0334"," 4.23","LRFVTYWOQMYALW-UHFFFAOYSA-N"
" NORLEUCINE_LRQKBLKVPFOOQJ-YFKPBYRVSA-N"," 131.0946"," 6.66","LRQKBLKVPFOOQJ-YFKPBYRVSA-N"
" 4-hydroxy-3-methylbenzoic acid_LTFHNKUKQYVHDX-UHFFFAOYSA-N"," 152.0473"," 0.78","LTFHNKUKQYVHDX-UHFFFAOYSA-N"
" Maltotetraose_LUEWUZLMQUOBSB-AYQJAVFRSA-N"," 666.2219"," 9.76","LUEWUZLMQUOBSB-AYQJAVFRSA-N"
" Resveratrol_LUKBXSAWLPMMSZ-OWOJBTEDSA-N"," 228.0786"," 0.72","LUKBXSAWLPMMSZ-OWOJBTEDSA-N"
" Undecanedioic acid_LWBHHRRTOZQPDM-UHFFFAOYSA-N"," 216.1362"," 0.76","LWBHHRRTOZQPDM-UHFFFAOYSA-N"
" Methylparaben_LXCFILQKKLGQFO-UHFFFAOYSA-N"," 152.0473"," 0.68","LXCFILQKKLGQFO-UHFFFAOYSA-N"
" PYRIDOXINE_LXNHXLLTXMVWPM-UHFFFAOYSA-N"," 169.0739"," 7.22","LXNHXLLTXMVWPM-UHFFFAOYSA-N"
" (-)-Matairesinol_MATGKVZWFZHCLI-LSDHHAIUSA-N"," 358.1416"," 0.70","MATGKVZWFZHCLI-LSDHHAIUSA-N"
" Diosmetin_MBNGWHIJMBWFHU-UHFFFAOYSA-N"," 300.0634"," 0.72","MBNGWHIJMBWFHU-UHFFFAOYSA-N"
" CORTISONE_MFYSYFVPBJMHGN-ZPOLXVRWSA-N"," 360.1937"," 0.74","MFYSYFVPBJMHGN-ZPOLXVRWSA-N"
" Phenylalanylalanine_MIDZLCFIAINOQN-WPRPVWTQSA-N"," 236.1161"," 6.98","MIDZLCFIAINOQN-WPRPVWTQSA-N"
" Oleanolic acid_MIJYXULNPSFWEK-GTOFXWBISA-N"," 456.3603"," 0.74","MIJYXULNPSFWEK-GTOFXWBISA-N"
" 3-Hydroxycoumarin_MJKVTPMWOKAVMS-UHFFFAOYSA-N"," 162.0317"," 0.72","MJKVTPMWOKAVMS-UHFFFAOYSA-N"
" N-Acetylmuramate_MNLRQHMNZILYPY-MKFCKLDKSA-N"," 293.1111"," 7.46","MNLRQHMNZILYPY-MKFCKLDKSA-N"
" Bilobalide_MOLPUWBMSBJXER-NRSGSQFTSA-N"," 326.1002"," 0.68","MOLPUWBMSBJXER-NRSGSQFTSA-N"
" Glycyrrhetinic acid_MPDGHEJMBKOTSU-WFJWTYAKSA-N"," 470.3396"," 0.76","MPDGHEJMBKOTSU-WFJWTYAKSA-N"
" 3-AMINO-4-HYDROXYBENZOATE_MRBKRZAPGUCWOS-UHFFFAOYSA-N"," 153.0426"," 0.82","MRBKRZAPGUCWOS-UHFFFAOYSA-N"
" Muramic acid_MSFSPUZXLOGKHJ-LEISLEKSSA-N"," 251.1005"," 7.96","MSFSPUZXLOGKHJ-LEISLEKSSA-N"
" GLUCOSAMINE_MSWZFWKMSRAUBD-IVMDWMLBSA-N"," 179.0794"," 2.16","MSWZFWKMSRAUBD-IVMDWMLBSA-N"
" D-MANNOSAMINE_MSWZFWKMSRAUBD-UHFFFAOYSA-N"," 179.0794"," 8.33","MSWZFWKMSRAUBD-UHFFFAOYSA-N"
" GLUCOSAMINE 6-SULFATE_MTDHILKWIRSIHB-QZABAPFNSA-N"," 259.0362"," 8.32","MTDHILKWIRSIHB-QZABAPFNSA-N"
" 3,4-DIHYDROXYPHENYLGLYCOL_MTVWFVDWRVYDOR-UHFFFAOYSA-N"," 170.0579"," 1.89","MTVWFVDWRVYDOR-UHFFFAOYSA-N"
" 3-Hydroxydodecanoic acid_MUCMKTPAZLSKTL-NSHDSACASA-N"," 216.1725"," 0.76","MUCMKTPAZLSKTL-NSHDSACASA-N"
" Betonicine_MUNWAHDYFVYIKH-RITPCOANSA-N"," 159.0895"," 1.30","MUNWAHDYFVYIKH-RITPCOANSA-N"
" N-ACETYLSEROTONIN_MVAWJSIDNICKHF-UHFFFAOYSA-N"," 218.1055"," 0.82","MVAWJSIDNICKHF-UHFFFAOYSA-N"
" 1-Methylxanthine_MVOYJPOZRLFTCP-UHFFFAOYSA-N"," 166.0491"," 1.38","MVOYJPOZRLFTCP-UHFFFAOYSA-N"
" DEOXYURIDINE_MXHRCPNRJAMMIM-SHYZEUOFSA-N"," 228.0746"," 1.69","MXHRCPNRJAMMIM-SHYZEUOFSA-N"
" ANSERINE_MYYIAHXIVFADCU-QMMMGPOBSA-N"," 240.1222"," 9.53","MYYIAHXIVFADCU-QMMMGPOBSA-N"
" Salicin_NGFMICBWJRZIBI-UJPOAAIJSA-N"," 286.1053"," 2.50","NGFMICBWJRZIBI-UJPOAAIJSA-N"
" 4-COUMARATE_NGSWKAQJJWESNS-ZZXKWVIFSA-N"," 164.0473"," 0.80","NGSWKAQJJWESNS-ZZXKWVIFSA-N"
" 4-Hydroxycinnamic acid_NGSWKAQJJWESNS-ZZXKWVIFSA-N"," 164.0473"," 0.82","NGSWKAQJJWESNS-ZZXKWVIFSA-N"
" Gingerol_NLDDIKRKFXEWBK-UHFFFAOYSA-N"," 294.1831"," 0.70","NLDDIKRKFXEWBK-UHFFFAOYSA-N"
" Desaminotyrosine_NMHMNPHRMNGLLB-UHFFFAOYSA-N"," 166.0630"," 0.78","NMHMNPHRMNGLLB-UHFFFAOYSA-N"
" CYTIDINE 2',3'-CYCLIC PHOSPHATE_NMPZCCZXCOMSDQ-ZRTZXPPTSA-N"," 305.0413"," 7.79","NMPZCCZXCOMSDQ-ZRTZXPPTSA-N"
" 1,7-Dimethyluric acid_NOFNCLGCUJJPKU-UHFFFAOYSA-N"," 196.0596"," 1.82","NOFNCLGCUJJPKU-UHFFFAOYSA-N"
" Cysteine-S-sulfate_NOKPBJYHPHHWAN-REOHCLBHSA-N"," 200.9766"," 7.62","NOKPBJYHPHHWAN-REOHCLBHSA-N"
" 3-Hydroxy-3-methylglutarate_NPOAOTPXWNWTSH-UHFFFAOYSA-N"," 162.0528"," 0.95","NPOAOTPXWNWTSH-UHFFFAOYSA-N"
" 3-HYDROXYMETHYLGLUTARATE_NPOAOTPXWNWTSH-UHFFFAOYSA-N"," 162.0528"," 8.10","NPOAOTPXWNWTSH-UHFFFAOYSA-N"
" PENTANOATE_NQPDZGIKBAWPEJ-UHFFFAOYSA-N"," 102.0681"," 1.16","NQPDZGIKBAWPEJ-UHFFFAOYSA-N"
" N-Formylphenylalanine_NSTPXGARCQOSAU-VIFPVBQESA-N"," 193.0739"," 1.00","NSTPXGARCQOSAU-VIFPVBQESA-N"
" L-Targinine (FREE BASE)_NTNWOCRCBQPEKQ-YFKPBYRVSA-N"," 188.1273"," 9.00","NTNWOCRCBQPEKQ-YFKPBYRVSA-N"
" GUANOSINE_NYHBQMYGNKIUIF-UUOKFMHZSA-N"," 283.0917"," 6.68","NYHBQMYGNKIUIF-UUOKFMHZSA-N"
" 3,5-DIIODO-L-TYROSINE_NYPYHUZRZVSYKL-ZETCQYMHSA-N"," 432.8672"," 6.13","NYPYHUZRZVSYKL-ZETCQYMHSA-N"
" Cyclohexanecarboxylic Acid_NZNMSOFKMUBTKW-UHFFFAOYSA-N"," 128.0837"," 0.80","NZNMSOFKMUBTKW-UHFFFAOYSA-N"
" ARGININE_ODKSFYDXXFIFQN-BYPYZUCNSA-N"," 174.1117"," 9.24","ODKSFYDXXFIFQN-BYPYZUCNSA-N"
" 7-Hydroxyoctanoic acid_OFCMTSZRXXFMBQ-UHFFFAOYSA-N"," 160.1099"," 0.80","OFCMTSZRXXFMBQ-UHFFFAOYSA-N"
" ADENOSINE_OIRDTQYFTABQOQ-KQYNXXCUSA-N"," 267.0968"," 2.80","OIRDTQYFTABQOQ-KQYNXXCUSA-N"
" N-ACETYLGLYCINE_OKJIRPAQVSHGFK-UHFFFAOYSA-N"," 117.0426"," 6.73","OKJIRPAQVSHGFK-UHFFFAOYSA-N"
" Salicyluric acid_ONJSZLXSECQROL-UHFFFAOYSA-N"," 195.0532"," 1.24","ONJSZLXSECQROL-UHFFFAOYSA-N"
" N-Acetylaspartylglutamic acid_OPVPGKGADVGKTG-BQBZGAKWSA-N"," 304.0907"," 7.86","OPVPGKGADVGKTG-BQBZGAKWSA-N"
" Umbelliferone_ORHBXUUXSCNDEV-UHFFFAOYSA-N"," 162.0317"," 0.72","ORHBXUUXSCNDEV-UHFFFAOYSA-N"
" N-ACETYLASPARTATE_OTCCIMWXFLJLIA-BYPYZUCNSA-N"," 175.0481"," 7.55","OTCCIMWXFLJLIA-BYPYZUCNSA-N"
" Gamma-Tocotrienol_OTXNTMVVOOBZCV-WAZJVIJMSA-N"," 410.3185"," 14.00","OTXNTMVVOOBZCV-WAZJVIJMSA-N"
" FOLATE_OVBPIULPVIDEAO-LBPRGKRZSA-N"," 441.1397"," 7.54","OVBPIULPVIDEAO-LBPRGKRZSA-N"
" N-ACETYLMANNOSAMINE_OVRNDRQMDRJTHS-OZRXBMAMSA-N"," 221.0899"," 6.83","OVRNDRQMDRJTHS-OZRXBMAMSA-N"
" Quercitrin_OXGUCUVFOIWWQJ-HQBVPOQASA-N"," 448.1006"," 6.41","OXGUCUVFOIWWQJ-HQBVPOQASA-N"
" AMINOADIPATE_OYIFNHCXNCRBQI-UHFFFAOYSA-N"," 161.0688"," 8.11","OYIFNHCXNCRBQI-UHFFFAOYSA-N"
" 3-(3,4-Dihydroxyphenyl)lactic acid_PAFLSMZLRSPALU-UHFFFAOYSA-N"," 198.0528"," 9.19","PAFLSMZLRSPALU-UHFFFAOYSA-N"
" Sinapic acid_PCMORTLOPMLEFB-ONEGZZNKSA-N"," 224.0685"," 0.79","PCMORTLOPMLEFB-ONEGZZNKSA-N"
" 3-METHOXYTYROSINE_PFDUUKDQEHURQC-UHFFFAOYSA-N"," 211.0845"," 7.06","PFDUUKDQEHURQC-UHFFFAOYSA-N"
" (+)-Catechin_PFTAWBLQPZVEMU-DZGCQCFKSA-N"," 290.0790"," 1.21","PFTAWBLQPZVEMU-DZGCQCFKSA-N"
" (-)-Catechin_PFTAWBLQPZVEMU-HIFRSBDPSA-N"," 290.0790"," 1.28","PFTAWBLQPZVEMU-HIFRSBDPSA-N"
" (-)-Epicatechin_PFTAWBLQPZVEMU-UKRRQHHQSA-N"," 290.0790"," 0.94","PFTAWBLQPZVEMU-UKRRQHHQSA-N"
" Sinigrin_PHZOWSSBXJXFOR-PTGZALFTSA-N"," 359.0345"," 6.03","PHZOWSSBXJXFOR-PTGZALFTSA-N"
" Casticin_PJQLSMYMOKWUJG-UHFFFAOYSA-N"," 374.1002"," 0.68","PJQLSMYMOKWUJG-UHFFFAOYSA-N"
" Indoleacrylic acid_PLVPPLCLBIEYEA-AATRIKPKSA-N"," 187.0633"," 0.74","PLVPPLCLBIEYEA-AATRIKPKSA-N"
" TRANS-4-HYDROXY-L-PROLINE_PMMYEEVYMWASQN-DMTCNVIQSA-N"," 131.0582"," 7.84","PMMYEEVYMWASQN-DMTCNVIQSA-N"
" CIS-4-HYDROXY-D-PROLINE_PMMYEEVYMWASQN-QWWZWVQMSA-N"," 131.0582"," 7.93","PMMYEEVYMWASQN-QWWZWVQMSA-N"
" ALLANTOIN_POJWUDADGALRAB-UHFFFAOYSA-N"," 158.0440"," 4.39","POJWUDADGALRAB-UHFFFAOYSA-N"
" 5-Acetylamino-6-amino-3-methyluracil_POQOTWQIYYNXAT-UHFFFAOYSA-N"," 198.0753"," 4.37","POQOTWQIYYNXAT-UHFFFAOYSA-N"
" 6beta-Hydroxyasiatic acid_PRAUVHZJPXOEIF-VGKQSNDQSA-N"," 504.3451"," 1.18","PRAUVHZJPXOEIF-VGKQSNDQSA-N"
" 4-IMIDAZOLEACETATE_PRJKNHOMHKJCEJ-UHFFFAOYSA-N"," 126.0429"," 8.05","PRJKNHOMHKJCEJ-UHFFFAOYSA-N"
" Harman_PSFDQSOCUJVVGF-UHFFFAOYSA-N"," 182.0844"," 1.42","PSFDQSOCUJVVGF-UHFFFAOYSA-N"
" Pseudouridine_PTJWIQPHWPFNBW-GBNDHIKLSA-N"," 244.0695"," 6.49","PTJWIQPHWPFNBW-GBNDHIKLSA-N"
" Pseudouridine_PTJWIQPHWPFNBW-GBNDHIKLSA-N"," 244.0695"," 6.52","PTJWIQPHWPFNBW-GBNDHIKLSA-N"
" NICOTINATE_PVNIIMVLHYAWGP-UHFFFAOYSA-N"," 123.0320"," 2.35","PVNIIMVLHYAWGP-UHFFFAOYSA-N"
" PALATINOSE_PVXPPJIGRGXGCY-UHFFFAOYSA-N"," 342.1162"," 8.46","PVXPPJIGRGXGCY-UHFFFAOYSA-N"
" OROTATE_PXQPEWDEAKTCGB-UHFFFAOYSA-N"," 156.0171"," 6.96","PXQPEWDEAKTCGB-UHFFFAOYSA-N"
" Quinoline-4,8-diol_PYELIMVFIITPER-UHFFFAOYSA-N"," 161.0477"," 0.95","PYELIMVFIITPER-UHFFFAOYSA-N"
" N-FORMYL-L-METHIONINE_PYUSHNKNPOHWEZ-YFKPBYRVSA-N"," 177.0460"," 2.11","PYUSHNKNPOHWEZ-YFKPBYRVSA-N"
" Ferulic acid 4-sulfate_PZPATWACAAOHTJ-HWKANZROSA-N"," 274.0147"," 0.99","PZPATWACAAOHTJ-HWKANZROSA-N"
" (-)-Gossypol_QBKSWRVVCFFDOT-UHFFFAOYSA-N"," 518.1941"," 0.70","QBKSWRVVCFFDOT-UHFFFAOYSA-N"
" AMINOISOBUTANOATE_QCHPKSFMDHPSNR-UHFFFAOYSA-N"," 103.0633"," 8.43","QCHPKSFMDHPSNR-UHFFFAOYSA-N"
" Propylparaben_QELSKZZBTMNZEB-UHFFFAOYSA-N"," 180.0786"," 0.68","QELSKZZBTMNZEB-UHFFFAOYSA-N"
" 1-Methyluric acid_QFDRTQONISXGJA-UHFFFAOYSA-N"," 182.0440"," 4.90","QFDRTQONISXGJA-UHFFFAOYSA-N"
" 1-Methyluric acid_QFDRTQONISXGJA-UHFFFAOYSA-N"," 182.0440"," 4.91","QFDRTQONISXGJA-UHFFFAOYSA-N"
" HIPPURATE_QIAFMBKCNZACKA-UHFFFAOYSA-N"," 179.0582"," 1.52","QIAFMBKCNZACKA-UHFFFAOYSA-N"
" STEARATE_QIQXTHQIDYTFRH-UHFFFAOYSA-N"," 284.2715"," 13.90","QIQXTHQIDYTFRH-UHFFFAOYSA-N"
" TRYPTOPHAN_QIVBCDIJIAJPQS-SECBINFHSA-N"," 204.0899"," 6.37","QIVBCDIJIAJPQS-SECBINFHSA-N"
" 3-AMINO-5-HYDROXYBENZOATE_QPEJHSFTZVMSJH-UHFFFAOYSA-N"," 153.0426"," 1.14","QPEJHSFTZVMSJH-UHFFFAOYSA-N"
" Hexadecanedioic acid_QQHJDPROMQRDLA-UHFFFAOYSA-N"," 286.2144"," 0.72","QQHJDPROMQRDLA-UHFFFAOYSA-N"
" HOMOVANILLATE_QRMZSPFSDQBLIX-UHFFFAOYSA-N"," 182.0579"," 0.82","QRMZSPFSDQBLIX-UHFFFAOYSA-N"
" Carnosic acid_QRYRORQUOLYVBU-YBMSBYLISA-N"," 332.1988"," 0.73","QRYRORQUOLYVBU-YBMSBYLISA-N"
" PARAXANTHINE_QUNWUDVFRNGTCO-UHFFFAOYSA-N"," 180.0647"," 0.94","QUNWUDVFRNGTCO-UHFFFAOYSA-N"
" Hesperidine_QUQPHWDTPGMPEX-UNZJSITISA-N"," 610.1898"," 4.51","QUQPHWDTPGMPEX-UNZJSITISA-N"
" o-Cresol_QWVGKYWNOKOFNN-UHFFFAOYSA-N"," 108.0575"," 0.82","QWVGKYWNOKOFNN-UHFFFAOYSA-N"
" PYRIDOXAL_RADKZDMFGJYCBB-UHFFFAOYSA-N"," 167.0582"," 1.42","RADKZDMFGJYCBB-UHFFFAOYSA-N"
" 2-Aminoheptanoate_RDFMDVXONNIGBC-LURJTMIESA-N"," 145.1103"," 6.19","RDFMDVXONNIGBC-LURJTMIESA-N"
" 5-Acetylamino-6-formylamino-3-methyluracil_RDZNZFGKEVDNPK-UHFFFAOYSA-N"," 226.0702"," 1.30","RDZNZFGKEVDNPK-UHFFFAOYSA-N"
" Quercetin_REFJWTPEDVJJIY-UHFFFAOYSA-N"," 302.0427"," 0.88","REFJWTPEDVJJIY-UHFFFAOYSA-N"
" Harmaline_RERZNCLIYCABFS-UHFFFAOYSA-N"," 214.1106"," 1.90","RERZNCLIYCABFS-UHFFFAOYSA-N"
" GLYCOCHOLATE_RFDAIACWWDREDC-FRVQLJSFSA-N"," 465.3090"," 5.88","RFDAIACWWDREDC-FRVQLJSFSA-N"
" N-ACETYLGLUTAMATE_RFMMMVDNIPUKGG-UHFFFAOYSA-N"," 189.0637"," 7.49","RFMMMVDNIPUKGG-UHFFFAOYSA-N"
" Oleuropein_RFWGABANNQMHMZ-WLFYAOHHSA-N"," 540.1843"," 2.06","RFWGABANNQMHMZ-WLFYAOHHSA-N"
" Galactonic acid_RGHNJXZEOKUKBD-MGCNEYSASA-N"," 196.0583"," 1.82","RGHNJXZEOKUKBD-MGCNEYSASA-N"
" 7-Ketodeoxycholate_RHCPKKNRWFXMAT-RRWYKFPJSA-N"," 406.2719"," 0.98","RHCPKKNRWFXMAT-RRWYKFPJSA-N"
" CITRULLINE_RHGKLRLOHDJJDR-BYPYZUCNSA-N"," 175.0957"," 8.47","RHGKLRLOHDJJDR-BYPYZUCNSA-N"
" Emodin_RHMXXJGYXNZAPX-UHFFFAOYSA-N"," 270.0528"," 0.70","RHMXXJGYXNZAPX-UHFFFAOYSA-N"
" Scopoletin_RODXRVNMMDRFIK-UHFFFAOYSA-N"," 192.0423"," 0.72","RODXRVNMMDRFIK-UHFFFAOYSA-N"
" 5,7-Dihydroxyflavone_RTIXKCRFFJGDFG-UHFFFAOYSA-N"," 254.0579"," 0.68","RTIXKCRFFJGDFG-UHFFFAOYSA-N"
" AICA-riboside_RTRQQBHATOEIAF-UUOKFMHZSA-N"," 258.0964"," 4.48","RTRQQBHATOEIAF-UUOKFMHZSA-N"
" CAFFEINE_RYYVLZVUVIJVGH-UHFFFAOYSA-N"," 194.0804"," 6.87","RYYVLZVUVIJVGH-UHFFFAOYSA-N"
" Silibinin_SEBFKMXJBCUCAI-UHFFFAOYSA-N"," 482.1213"," 0.74","SEBFKMXJBCUCAI-UHFFFAOYSA-N"
" NORADRENALINE_SFLSHLFXELFNJZ-QMMMGPOBSA-N"," 169.0739"," 7.25","SFLSHLFXELFNJZ-QMMMGPOBSA-N"
" 1-HYDROXY-2-NAPHTHOATE_SJJCQDRGABAVBB-UHFFFAOYSA-N"," 188.0473"," 0.82","SJJCQDRGABAVBB-UHFFFAOYSA-N"
" 1-Deoxy-D-glucitol_SKCKOFZKJLZSFA-UHFFFAOYSA-N"," 166.0841"," 4.96","SKCKOFZKJLZSFA-UHFFFAOYSA-N"
" SALICYLAMIDE_SKZKKFZAGNVIMN-UHFFFAOYSA-N"," 137.0477"," 0.72","SKZKKFZAGNVIMN-UHFFFAOYSA-N"
" Ginkgolide B_SQOJOAFXDQDRGF-UHFFFAOYSA-N"," 424.1369"," 0.72","SQOJOAFXDQDRGF-UHFFFAOYSA-N"
" Serylalanine_SSJMZMUVNKEENT-IMJSIDKUSA-N"," 176.0797"," 8.48","SSJMZMUVNKEENT-IMJSIDKUSA-N"
" 2',4'-DIHYDROXYACETOPHENONE_SULYEHHGGXARJS-UHFFFAOYSA-N"," 152.0473"," 0.70","SULYEHHGGXARJS-UHFFFAOYSA-N"
" METHIONINE SULFOXIMINE_SXTAYKAGBXMACB-UHFFFAOYSA-N"," 180.0569"," 8.47","SXTAYKAGBXMACB-UHFFFAOYSA-N"
" L-GULONOLACTONE_SXZYCXMUPBBULW-UHFFFAOYSA-N"," 178.0477"," 2.94","SXZYCXMUPBBULW-UHFFFAOYSA-N"
" 4-GUANIDINOBUTANOATE_TUHVEAJXIMEOSA-UHFFFAOYSA-N"," 145.0851"," 6.89","TUHVEAJXIMEOSA-UHFFFAOYSA-N"
" Isonicotinic acid_TWBYWOBDOCUKOW-UHFFFAOYSA-N"," 123.0320"," 3.30","TWBYWOBDOCUKOW-UHFFFAOYSA-N"
" XANTHOSINE_UBORTCNDUKBEOP-UUOKFMHZSA-N"," 284.0757"," 6.62","UBORTCNDUKBEOP-UUOKFMHZSA-N"
" 4,5-Di-O-caffeoylquinic acid_UFCLZKMFXSILNL-RVXRWRFUSA-N"," 516.1268"," 6.94","UFCLZKMFXSILNL-RVXRWRFUSA-N"
" 4,5-Dihydroorotic acid_UFIVEPVSAGBUSI-UHFFFAOYSA-N"," 158.0328"," 7.53","UFIVEPVSAGBUSI-UHFFFAOYSA-N"
" 2,4-Dihydroxybutanoic acid_UFYGCFHQAXXBCF-UHFFFAOYSA-N"," 120.0423"," 12.88","UFYGCFHQAXXBCF-UHFFFAOYSA-N"
" GLUCOSAMINATE_UFYKDFXCZBTLOO-UHFFFAOYSA-N"," 195.0743"," 9.38","UFYKDFXCZBTLOO-UHFFFAOYSA-N"
" 16-Hydroxy hexadecanoic acid_UGAGPNKCDRTDHP-UHFFFAOYSA-N"," 272.2351"," 0.72","UGAGPNKCDRTDHP-UHFFFAOYSA-N"
" N-FORMYLGLYCINE_UGJBHEZMOKVTIM-UHFFFAOYSA-N"," 103.0269"," 7.20","UGJBHEZMOKVTIM-UHFFFAOYSA-N"
" INOSINE_UGQMRVRMYYASKQ-KQYNXXCUSA-N"," 268.0808"," 5.71","UGQMRVRMYYASKQ-KQYNXXCUSA-N"
" CYTIDINE_UHDGCWIWMRVCDJ-XVFCMESISA-N"," 243.0855"," 6.48","UHDGCWIWMRVCDJ-XVFCMESISA-N"
" 2,4-Dihydroxybenzoic Acid_UIAFKZKHHVMJGS-UHFFFAOYSA-N"," 154.0266"," 0.70","UIAFKZKHHVMJGS-UHFFFAOYSA-N"
" THIOPURINE S-METHYLETHER_UIJIQXGRFSPYQW-UHFFFAOYSA-N"," 166.0313"," 0.87","UIJIQXGRFSPYQW-UHFFFAOYSA-N"
" HOMOSERINE_UKAUYVFTDYCKQA-VKHMYHEASA-N"," 119.0582"," 8.06","UKAUYVFTDYCKQA-VKHMYHEASA-N"
" 12-Hydroxystearic acid_ULQISTXYYBZJSJ-UHFFFAOYSA-N"," 300.2664"," 0.73","ULQISTXYYBZJSJ-UHFFFAOYSA-N"
" THIOUREA_UMGDCJDMYOKAJW-UHFFFAOYSA-N"," 76.0095"," 0.92","UMGDCJDMYOKAJW-UHFFFAOYSA-N"
" Hexanoylglycine_UPCKIPHSXMXJOX-UHFFFAOYSA-N"," 173.1052"," 1.28","UPCKIPHSXMXJOX-UHFFFAOYSA-N"
" STACHYOSE_UQZIYBXSHAGNOE-XNSRJBNMSA-N"," 666.2219"," 9.89","UQZIYBXSHAGNOE-XNSRJBNMSA-N"
" Phenylacetylglycine_UTYVDVLMYQPLQB-UHFFFAOYSA-N"," 193.0739"," 1.44","UTYVDVLMYQPLQB-UHFFFAOYSA-N"
" 3,5-Dihydroxybenzoic acid_UYEMGAFJOZZIFP-UHFFFAOYSA-N"," 154.0266"," 1.28","UYEMGAFJOZZIFP-UHFFFAOYSA-N"
" 3,5-Dihydroxybenzoic acid_UYEMGAFJOZZIFP-UHFFFAOYSA-N"," 154.0266"," 0.91","UYEMGAFJOZZIFP-UHFFFAOYSA-N"
